tweet_id,author,text,intent,agent_reply
910001,user_edge_1,@AppleSupport someone got into my apple id and changed my password i need help now,apple_id_account_access,"@user_edge_1 This sounds urgent, please DM us immediately so we can help secure your account."
910002,user_edge_2,@AppleSupport i will be contacting my lawyer if this billing issue is not resolved today,billing_subscription_dispute,"@user_edge_2 We take this seriously, please DM us your Apple ID email so a specialist can review this right away."
910003,user_edge_3,@AppleSupport my phone was stolen and i need to lock it remotely right now,hardware_physical_damage,"@user_edge_3 Please use Find My iPhone from another device to lock it immediately, and DM us so we can help further."
910004,user_edge_4,@AppleSupport my card was charged for an app i never downloaded this looks like fraud,billing_subscription_dispute,"@user_edge_4 We're sorry to hear that, please DM us right away so we can investigate this as potential fraud."
910005,user_edge_5,@AppleSupport my battery is swelling and the case is bulging is this a fire risk,hardware_physical_damage,"@user_edge_5 Please stop using the device immediately, this can be a safety issue. DM us your device model so we can help right away."
910006,user_edge_6,@AppleSupport thanks for nothing lol been waiting 3 days for a response,general_complaint_or_praise,"@user_edge_6 We're sorry for the delay, please DM us your details so we can help right now."
910007,user_edge_7,@AppleSupport phone screen cracked can you tell me the repair cost,hardware_physical_damage,"@user_edge_7 Sorry to hear about the screen, DM us your device model and we can go over repair options."
910008,user_edge_8,@AppleSupport not sure if this is a software issue or my phone is just old and dying,software_update_device_issue,"@user_edge_8 Let's figure that out together, please DM us your device model and iOS version."
910009,user_edge_9,@AppleSupport i want to know about the new phone but also this bill from last month is wrong,billing_subscription_dispute,"@user_edge_9 Let's fix the billing first, please DM us your Apple ID email so we can review the charge."
910010,user_edge_10,@AppleSupport quick question does the new iphone support wireless charging,how_to_question,"@user_edge_10 Yes it does, DM us if you have more questions about the model you're interested in."
910011,user_edge_11,@AppleSupport this is the third time i am contacting about the same overcharge nothing has changed,billing_subscription_dispute,"@user_edge_11 We're very sorry this hasn't been resolved, please DM us your case details so we can escalate this properly."
910012,user_edge_12,@AppleSupport my daughters ipad shows no signal at all this is scary during an emergency,software_update_device_issue,"@user_edge_12 We understand the concern, please DM us the device model so we can check this right away."
910013,user_edge_13,@AppleSupport just switched to android but wanted to say thanks for the years of great support,general_complaint_or_praise,"@user_edge_13 Thank you for being with us, we wish you all the best!"
910014,user_edge_14,@AppleSupport my account got disabled and i dont know why this seems like a mistake,apple_id_account_access,"@user_edge_14 Sorry about that, please DM us your Apple ID email so we can look into the disabled account."
910015,user_edge_15,@AppleSupport i think someone is using my apple id without my permission,apple_id_account_access,"@user_edge_15 That's concerning, please DM us your Apple ID email right away so we can help secure it."
910016,user_edge_16,@AppleSupport can you confirm if the new update fixes the battery drain issue before i install it,software_update_device_issue,"@user_edge_16 Good question, please DM us your device model and current iOS version so we can advise."
910017,user_edge_17,@AppleSupport i want to cancel my apple music subscription because of the constant crashes,billing_subscription_dispute,"@user_edge_17 We understand, please DM us your Apple ID email so we can help with the subscription and the crashes."
910018,user_edge_18,@AppleSupport app store shows payment failed but the money left my bank account,billing_subscription_dispute,"@user_edge_18 Sorry for the trouble, please DM us your Apple ID email so we can verify the payment."
910019,user_edge_19,@AppleSupport are the stores open on sunday near downtown,general_complaint_or_praise,"@user_edge_19 Store hours vary by location, please DM us your zip code and we'll check for you."
910020,user_edge_20,@AppleSupport i was spoken to very rudely by a rep in the store this needs to be reported,general_complaint_or_praise,"@user_edge_20 We're very sorry to hear this, please DM us the details so this can be escalated appropriately."
910021,user_edge_21,@AppleSupport phone gets extremely hot and the back is bulging is that dangerous,hardware_physical_damage,"@user_edge_21 That can be a safety concern, please stop using the device and DM us your model so we can help right away."
910022,user_edge_22,@AppleSupport just got my phone fixed at the genius bar and it works perfectly now thanks team,general_complaint_or_praise,"@user_edge_22 That's great to hear, glad we could help!"
910023,user_edge_23,@AppleSupport i think my identity was stolen through my apple account,apple_id_account_access,"@user_edge_23 This is serious, please DM us immediately so we can secure your account and guide next steps."
910024,user_edge_24,@AppleSupport price for adding applecare to my new phone,billing_subscription_dispute,"@user_edge_24 Sure thing, DM us your device details and we'll get you a quote."
910025,user_edge_25,@AppleSupport still no fix after 4 messages about my phone randomly restarting,software_update_device_issue,"@user_edge_25 We're sorry this is still happening, please DM us your device model so we can escalate to a specialist."
910026,user_edge_26,@AppleSupport can i get a copy of my last 6 months of app store purchases,billing_subscription_dispute,"@user_edge_26 Of course, DM us your Apple ID email and we'll get those sent over."
910027,user_edge_27,@AppleSupport do you offer student discounts on new macbooks,how_to_question,"@user_edge_27 Yes we do, DM us and we can walk you through eligibility."
910028,user_edge_28,@AppleSupport furious right now my kid racked up in app purchases without permission,billing_subscription_dispute,"@user_edge_28 We understand the frustration, please DM us your Apple ID email so we can review the charges."
910029,user_edge_29,@AppleSupport thinking about switching to android what would make you keep me as a customer,general_complaint_or_praise,"@user_edge_29 We'd like to keep you with us, please DM us your details so we can go over options."
910030,user_edge_30,@AppleSupport phone was stolen need to remotely erase it immediately,hardware_physical_damage,"@user_edge_30 Please use Find My iPhone to erase it remotely if possible, and DM us your Apple ID email so we can help further."
910031,user_edge_31,@AppleSupport how do i turn off the battery draining background app refresh setting,how_to_question,"@user_edge_31 Happy to help, please DM us your device model and we'll walk you through the steps."
910032,user_edge_32,@AppleSupport my phone wont even turn on after i dropped it in the pool yesterday,hardware_physical_damage,"@user_edge_32 Sorry to hear that, please DM us your device model so we can go over next steps and repair options."
910033,user_edge_33,@AppleSupport are you even reading these messages i have emailed 5 times with no response,general_complaint_or_praise,"@user_edge_33 We're sorry for the delay, please DM us your details so we can help right now."
910034,user_edge_34,@AppleSupport verification code says sent but i never get it no matter how many times i try,apple_id_account_access,"@user_edge_34 Sorry about that, please DM us your Apple ID email so we can look into the verification issue."
910035,user_edge_35,@AppleSupport my macbook screen just went completely black and wont respond to anything,hardware_physical_damage,"@user_edge_35 Sorry to hear that, please DM us the model and what happened right before this started."
910036,user_edge_36,@AppleSupport does the trade in program accept phones with a cracked screen,how_to_question,"@user_edge_36 Yes it can, please DM us your device model and condition and we'll get you a quote."
910037,user_edge_37,@AppleSupport i already paid for applecare but they still tried to charge me for the repair,billing_subscription_dispute,"@user_edge_37 That doesn't sound right, please DM us your Apple ID email and repair details so we can look into it."
910038,user_edge_38,@AppleSupport just wanted to say the online chat support today was incredibly helpful,general_complaint_or_praise,"@user_edge_38 Thank you so much for letting us know, we'll pass this along to the team!"
910039,user_edge_39,@AppleSupport phone randomly shut off and now shows the apple logo on a loop after the update,software_update_device_issue,"@user_edge_39 Sorry about that, please DM us your device model and iOS version so we can help."
910040,user_edge_40,@AppleSupport can you walk me through setting up apple pay on my new watch,how_to_question,"@user_edge_40 Of course, please DM us and we'll walk you through the setup steps."
910041,user_edge_41,@AppleSupport i am extremely angry my account was hacked and used to buy things i never authorized,apple_id_account_access,"@user_edge_41 We understand the urgency, please DM us your Apple ID email immediately so we can secure your account and review the charges."
910042,user_edge_42,@AppleSupport this is unacceptable i have called 3 times about the same crash issue and nothing works,software_update_device_issue,"@user_edge_42 We're very sorry this keeps happening, please DM us your device model so we can escalate this to a specialist."
910043,user_edge_43,@AppleSupport what colors does the new iphone come in,how_to_question,@user_edge_43 Please DM us or check the Apple website for the full range of colors available.
910044,user_edge_44,@AppleSupport my phone caught a small spark near the charging port this seems dangerous,hardware_physical_damage,"@user_edge_44 Please stop using the charger and device immediately, this is a safety concern. DM us your device model right away."
910045,user_edge_45,"@AppleSupport really appreciate how fast the replacement device arrived, great service",general_complaint_or_praise,"@user_edge_45 So glad to hear that, thanks for letting us know!"
