tweet_id,author,text,intent,agent_reply,source
200048,user_alex_200048,"@AppleSupport hey, my apple id got disabled and i dont know why",apple_id_account_access,@user_alex_200048 We can help you get back in. Please DM us so we can walk through account recovery steps.,synthetic
200141,user_kelly_200141,@AppleSupport how do i backup my phone before i sell it 😡,how_to_question,@user_kelly_200141 Let's get that set up for you. Please DM us so we can help step by step.,synthetic
200097,user_amy_200097,"@AppleSupport hey, home button completely stopped working out of nowhere",hardware_physical_damage,@user_amy_200097 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200090,user_ryan_200090,@AppleSupport phone wont turn on at all after it got wet smh,hardware_physical_damage,@user_ryan_200090 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200172,user_ben_200172,"@AppleSupport hey, so disappointed with the support ive gotten this week pls help",general_complaint_or_praise,"@user_ben_200172 Thank you for the kind words, we'll pass that along to the team!",synthetic
200107,user_nicole_200107,"@AppleSupport charging port seems damaged, phone wont charge with any cable 😡",hardware_physical_damage,@user_nicole_200107 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200017,user_ben_200017,"@AppleSupport hey, keyboard is lagging so bad since i updated, this update is a disaster 😡",software_update_device_issue,"@user_ben_200017 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there.",synthetic
200131,user_sofia_200131,"@AppleSupport hey, how do i turn off notifications for one specific app pls help",how_to_question,@user_sofia_200131 Let's get that set up for you. Please DM us so we can help step by step.,synthetic
200027,user_omar_200027,@AppleSupport phone overheats now every time i open the camera after updating smh,software_update_device_issue,@user_omar_200027 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors.,synthetic
200022,user_omar_200022,@AppleSupport wifi keeps disconnecting every few minutes since i updated my phone,software_update_device_issue,@user_omar_200022 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200111,user_sam_200111,@AppleSupport phone gets extremely hot and shuts off randomly pls help,hardware_physical_damage,@user_sam_200111 Sorry to hear that! Please DM us your device model and we can go over repair options.,synthetic
200151,user_priya_200151,"@AppleSupport just wanted to say i love my new phone, best purchase ever ...",general_complaint_or_praise,@user_priya_200151 We're sorry to hear that and appreciate you flagging it. Please DM us so we can make this right.,synthetic
200103,user_tom_200103,"@AppleSupport camera lens shattered, can this be repaired",hardware_physical_damage,"@user_tom_200103 That sounds concerning, let's look into it. Please DM us your device model right away.",synthetic
200011,user_ben_200011,"@AppleSupport hey, phone overheats now every time i open the camera after updating",software_update_device_issue,"@user_ben_200011 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there.",synthetic
200012,user_omar_200012,"@AppleSupport my phone is so laggy since the update, everything takes forever to load ...",software_update_device_issue,@user_omar_200012 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors.,synthetic
200115,user_leah_200115,"@AppleSupport hey, screen has dead pixels since yesterday, never dropped it !!",hardware_physical_damage,@user_leah_200115 We can help with that. DM us your device model so we can check service options near you.,synthetic
200010,user_tara_200010,"@AppleSupport phone has been frozen since i updated to the new ios, apps wont even open",software_update_device_issue,@user_tara_200010 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200071,user_ben_200071,"@AppleSupport hey, got charged for an app subscription i already cancelled months ago 😡",billing_subscription_dispute,@user_ben_200071 Sorry to hear about the unexpected charge. Please DM us your Apple ID email so we can look into this together.,synthetic
200144,user_ryan_200144,@AppleSupport how do i change my apple id email address 😡,how_to_question,@user_ryan_200144 We can help you set that up. DM us and we'll get you the right steps.,synthetic
200075,user_sofia_200075,@AppleSupport i want a refund for an app that doesnt work as advertised 🙄,billing_subscription_dispute,@user_sofia_200075 We'd like to help with this. DM us your Apple ID email and we'll check the billing history.,synthetic
200109,user_dana_200109,"@AppleSupport hey, screen cracked after i dropped my phone, whats the repair cost smh",hardware_physical_damage,@user_dana_200109 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200138,user_kelly_200138,"@AppleSupport hey, how do i turn on dark mode",how_to_question,@user_kelly_200138 Happy to help with that! Please DM us and we'll walk you through the steps.,synthetic
200083,user_omar_200083,@AppleSupport got charged for an app subscription i already cancelled months ago,billing_subscription_dispute,@user_omar_200083 Let's take a look at that charge. Please DM us the date and amount so we can investigate.,synthetic
200035,user_dana_200035,@AppleSupport forgot my apple id password and the reset link isnt coming through,apple_id_account_access,"@user_dana_200035 That sounds frustrating, let's get this sorted. Send us a DM with more details so we can help.",synthetic
