tweet_id,customer_tweet_id,customer_text,agent_reply
119248,119249,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT
119252,119253,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
119262,119263,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT
119267,119268,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT"
119269,119270,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
119271,119272,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT
119279,119280,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT
119289,119292,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT
119293,119294,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",@105849 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
119298,119299,@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,@105851 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there. https://t.co/GDrqU22YpT
119300,119301,@76099 @AppleSupport fix this update. It’s horrible,"@105852 Are you experiencing an issue with your device? If so, DM us with what's going on. We'll see how we can help from there. https://t.co/GDrqU22YpT"
119323,119324,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT
119325,119326,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?
