tweet_id,author,text,intent,agent_reply,source
200073,user_nicole_200073,@AppleSupport subscription renewed even though i turned off auto renew,billing_subscription_dispute,"@user_nicole_200073 That doesn't look right, let's fix it. Please DM us so we can review the transaction.",synthetic
200145,user_ryan_200145,@AppleSupport how do i transfer my photos to my new phone ...,how_to_question,@user_ryan_200145 Great question! Send us a DM and we'll walk you through it.,synthetic
200092,user_nicole_200092,@AppleSupport phone wont turn on at all after it got wet 😡,hardware_physical_damage,"@user_nicole_200092 That sounds concerning, let's look into it. Please DM us your device model right away.",synthetic
200171,user_leah_200171,@AppleSupport so disappointed with the support ive gotten this week ...,general_complaint_or_praise,@user_leah_200171 We hear you and we're sorry for the delay. DM us your account details so we can help directly.,synthetic
200058,user_tara_200058,@AppleSupport app store keeps asking me to sign in again and again,apple_id_account_access,@user_tara_200058 Sorry about that! Please DM us your email associated with the Apple ID so we can look into this.,synthetic
200045,user_amy_200045,"@AppleSupport hey, someone changed my apple id password and i didnt do it ...",apple_id_account_access,@user_amy_200045 Sorry about that! Please DM us your email associated with the Apple ID so we can look into this.,synthetic
200068,user_ben_200068,@AppleSupport got charged for an app subscription i already cancelled months ago,billing_subscription_dispute,@user_ben_200068 Let's take a look at that charge. Please DM us the date and amount so we can investigate.,synthetic
200018,user_victor_200018,"@AppleSupport hey, screen keeps flickering since the software update last week smh",software_update_device_issue,@user_victor_200018 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200125,user_maria_200125,@AppleSupport how do i restore from an icloud backup !!,how_to_question,"@user_maria_200125 Sure thing, please DM us your device model and iOS version so we can guide you.",synthetic
200056,user_tom_200056,"@AppleSupport hey, two factor authentication code isnt showing up on my other device smh",apple_id_account_access,@user_tom_200056 We can help you get back in. Please DM us so we can walk through account recovery steps.,synthetic
200099,user_amy_200099,"@AppleSupport hey, screen has dead pixels since yesterday, never dropped it smh",hardware_physical_damage,@user_amy_200099 We can help with that. DM us your device model so we can check service options near you.,synthetic
200109,user_dana_200109,"@AppleSupport hey, screen cracked after i dropped my phone, whats the repair cost smh",hardware_physical_damage,@user_dana_200109 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200151,user_priya_200151,"@AppleSupport just wanted to say i love my new phone, best purchase ever ...",general_complaint_or_praise,@user_priya_200151 We're sorry to hear that and appreciate you flagging it. Please DM us so we can make this right.,synthetic
200108,user_sam_200108,"@AppleSupport screen cracked after i dropped my phone, whats the repair cost 😡",hardware_physical_damage,@user_sam_200108 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200062,user_alex_200062,@AppleSupport apple music billed me after i cancelled my subscription 😡,billing_subscription_dispute,"@user_alex_200062 That doesn't look right, let's fix it. Please DM us so we can review the transaction.",synthetic
200137,user_kelly_200137,"@AppleSupport hey, how do i find my phone if i lost it 😡",how_to_question,"@user_kelly_200137 Sure thing, please DM us your device model and iOS version so we can guide you.",synthetic
200129,user_sofia_200129,@AppleSupport how do i share my location with a family member ...,how_to_question,@user_sofia_200129 Great question! Send us a DM and we'll walk you through it.,synthetic
200082,user_ryan_200082,"@AppleSupport hey, icloud storage charge showed up but i never upgraded my plan smh",billing_subscription_dispute,@user_ryan_200082 Let's take a look at that charge. Please DM us the date and amount so we can investigate.,synthetic
200044,user_amy_200044,"@AppleSupport i need a new code for the app store, havent received any but it says too many sent pls help",apple_id_account_access,@user_amy_200044 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there.,synthetic
200009,user_omar_200009,"@AppleSupport battery drains so fast after this update, from 100 to 40 in an hour smh",software_update_device_issue,@user_omar_200009 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200130,user_marcus_200130,@AppleSupport how do i turn off notifications for one specific app pls help,how_to_question,@user_marcus_200130 Great question! Send us a DM and we'll walk you through it.,synthetic
